customer_id,name,age,email,phone_number,flight_id,airline_name,departure_city,arrival_city,departure_date,ticket_price,class,booking_id,booking_date,status,payment_method,additional_services,departure_time,arrival_time
32340969,Seth Frank,24,whitebetty@example.net,6895132435,AI-BenPun,Air India,Bengaluru,Pune,2025-01-03,4571.68,Economy,74765519,2024-01-04,Confirmed,Credit Card,None,08:45,11:30
39468519,Samantha Guerra,39,freemanmelissa@example.net,8689280425,SJ-NewCha,Spice Jet,New Delhi,Chandigarh,2024-12-05,4352.5,Business,16018610,2024-04-19,Pending,Credit Card,Meal Preference,20:35,23:30
67783267,Tyler Day,79,lisapatton@example.org,9763123594,AI-MumHyd,Air India,Mumbai,Hyderabad,2024-12-22,5402.91,Business,41486539,2024-10-19,Confirmed,UPI,Extra Baggage,16:45,19:30
28601156,Karen Wright,80,leeyvonne@example.com,9138614652,AI-MumGoa,Air India,Mumbai,Goa,2024-12-06,5056.6,Economy,11340029,2024-06-19,Canceled,Credit Card,Extra Baggage,16:15,19:00
24556077,Scott Terry,73,zperez@example.org,7318043193,IN-MumCha,Indigo,Mumbai,Chandigarh,2025-01-02,5961.18,Economy,14111908,2024-11-12,Pending,Credit Card,None,13:25,16:20
52152400,Alexander Wilson,58,wsnyder@example.net,8864183732,AI-BenInd,Air India,Bengaluru,Indore,2024-12-24,5785.2,Economy,45626137,2024-04-03,Confirmed,Credit Card,Meal Preference,08:15,11:00
60356676,Allison Clark,38,pamela89@example.com,6683698453,SJ-BenAhm,Spice Jet,Bengaluru,Ahmadabad,2024-12-12,5655.29,Economy,77589729,2024-06-17,Canceled,Debit Card,None,10:10,13:05
20017871,Bill King,53,idavis@example.com,9515612146,AK-KolAhm,Akasa Air,Kolkata,Ahmadabad,2025-01-09,6765.8,Business,89032211,2024-02-20,Pending,Credit Card,None,17:15,19:55
50912309,Sonya Garcia,52,cwise@example.com,8806925773,SJ-CheGoa,Spice Jet,Chennai,Goa,2024-12-08,6139.28,Economy,43873542,2024-06-24,Pending,UPI,Extra Baggage,13:30,16:25
29803519,Christopher Young,65,jacob41@example.com,7933778479,SJ-NewPun,Spice Jet,New Delhi,Pune,2025-01-24,6220.74,Business,65985795,2024-09-11,Pending,Debit Card,None,22:15,01:10
70495552,Sherry Delacruz,41,jorgemoore@example.com,8948495300,AI-NewPun,Air India,New Delhi,Pune,2024-12-13,6191.82,Economy,56725434,2024-08-21,Confirmed,Credit Card,Extra Baggage,20:45,23:30
62495942,Tracy Jackson,79,zcooper@example.org,9317256394,SJ-BenPun,Spice Jet,Bengaluru,Pune,2024-12-06,4381.79,Economy,63025850,2024-10-12,Canceled,Debit Card,None,12:15,15:10
64059831,Ricardo Garcia,64,sheri59@example.net,8001751438,AK-BenInd,Akasa Air,Bengaluru,Indore,2025-01-31,5658.57,Business,44562600,2024-06-02,Pending,Credit Card,Meal Preference,19:55,22:35
73433310,Alicia Ross,75,imartin@example.com,9951057720,SJ-NewInd,Spice Jet,New Delhi,Indore,2025-01-07,6876.19,Business,51187464,2024-07-04,Confirmed,Credit Card,Meal Preference,21:50,00:45
55288515,Sara Bright,72,sydney96@example.com,9723721924,SJ-BenGoa,Spice Jet,Bengaluru,Goa,2025-01-26,5442.64,Economy,13484651,2024-01-30,Canceled,Debit Card,Extra Baggage,11:00,13:55
32255460,Alexandria Short,78,meadowsjulia@example.net,8554247561,AI-MumInd,Air India,Mumbai,Indore,2024-12-27,4269.18,Business,18714627,2024-04-04,Pending,UPI,None,17:15,20:00
37154778,Angela Leon,53,lisalucero@example.net,8247447112,AK-CheInd,Akasa Air,Chennai,Indore,2024-12-21,6037.01,Business,14198297,2024-04-12,Pending,Debit Card,Extra Baggage,17:55,20:35
23999101,Roger Andrews,52,michael23@example.org,7713612186,AI-MumInd,Air India,Mumbai,Indore,2024-12-02,4852.96,Economy,29810885,2024-11-13,Confirmed,UPI,Extra Baggage,17:15,20:00
71563962,John Marshall,26,jeremyreed@example.net,6790573190,IN-NewGoa,Indigo,New Delhi,Goa,2025-02-14,5040.37,Economy,34154903,2024-06-29,Canceled,Debit Card,Meal Preference,15:45,18:40
33867888,Thomas Watkins,43,kjimenez@example.com,7836685371,AK-CheCha,Akasa Air,Chennai,Chandigarh,2025-01-19,7278.96,Economy,84437646,2024-08-21,Canceled,Debit Card,Extra Baggage,18:55,21:35
